"Index","V_k","V_eurobn","V_s","V_a","V_pi","V_immvb","V_gd","V_ngs","V_op","V_ps","V_gu","V_telecm","V_e","V_m","V_bric","V_dr","V_dm","V_PlcdPb","V_Ksntsk","R_stock","R_bonds","R_mix","R_funds","R_custom","R_sourcs","R_telecm","R_energt","R_mmvb","R_corpor","R_asia","R_brik","R_gold","R_treasr","R_active","R_evrob"
Dec 2013,0.0121675155631014,-0.0115606936416186,0.0184135977337112,0.02753108348135,0.0536193029490617,0.0184430178944717,-0.00260999254287841,0.0233918128654971,0.0122994652406416,-0.000970873786407922,0.0662544169611308,0.0508744038155804,0.0410958904109588,0.0287958115183247,-0.0155868544600939,NA,NA,NA,NA,0.0559978905678247,0.00613217924376563,0.0428470378143953,0.00561009455077555,4.12415035309088e-05,0.022489503387028,0.0410261481902334,0.0589954279245828,0.0202276723081567,0.00757927300850736,-0.0276030767227509,-0.0159531069311442,-0.0524713863136611,0.00534556236609163,0.0179768594039964,-0.00871034375708957
Jan 2014,0.00503214984623979,0.0760233918128654,-0.00556328233657855,-0.0155574762316335,-0.039440203562341,-0.0233277531115803,0.0216822429906542,-0.00476190476190486,0.00211304807184365,-0.0709426627793973,-0.019884009942005,-0.0537065052950076,-0.013157894736842,0.0152671755725191,0.00152613506295296,0.00726077224398436,0.0834755980861244,-0.0453005097182546,-0.0484272368604939,-0.0550407616865626,0.00144790659899963,-0.0406810013068075,0.0377764252123061,-0.0860223922538224,-0.0308381200709906,-0.0731312943311396,-0.0230689338862397,-0.0295723959058627,-0.0385255688602327,0.00666863065427559,-0.0154208085419998,0.116928628117145,0.00308863893560751,-0.00740052913433231,0.0693003218041912
Feb 2014,0.00194714881780245,0.0289855072463769,-0.0139860139860141,-0.0175592625109746,0.0145695364238412,-0.0137869359466408,0.0300036589828028,0.00478468899521545,-0.00369003690036906,-0.0104602510460251,-0.0574809805579036,0.0119904076738608,-0.032,0.0100250626566416,0.0316190476190477,0.00421533632411553,0.0963972048131478,-0.0249644308197779,-0.0159377515427959,-0.0188732459685791,0.00477962357482831,-0.0121965422248079,0.0621669979011152,0.0565054334367276,0.00735849612959583,-0.00888466357507578,-0.0263801157791815,-0.0148130127602901,-0.00503482509393727,0.0561586904635218,0.0381106153793489,0.0856469090825742,0.00246472759328409,0.0385984402622195,0.0289130093992391
Mar 2014,-0.0205441421432538,-0.0352112676056336,-0.0439716312056737,-0.0831099195710455,-0.0548302872062663,-0.0596478633770355,-0.0113676731793961,-0.0714285714285714,-0.0296296296296296,-0.0380549682875265,-0.104035874439462,-0.112954186413902,-0.0578512396694215,-0.0694789081885857,-0.00572378138847851,-0.000221292486428548,-0.0368429871368546,-0.125039488529522,-0.0713933104109384,-0.0865177179171065,-0.0235993964261563,-0.0603800975164921,-0.00902366467138482,-0.0966919173610029,-0.0727799613616682,-0.0575108663880116,-0.068667732024086,-0.0700544964399225,-0.0608698443038607,0.00169220264329062,0.00482210319322807,-0.0381410714174827,-0.00745772166425496,-0.0284343371744959,-0.0278523857312289
Apr 2014,-0.00907029478458055,-0.0218978102189781,-0.0207715133531158,-0.0292397660818713,-0.011049723756906,-0.0396451344607708,0.0176068990298239,-0.0082051282051282,-0.0109051254089422,-0.0186813186813187,-0.053053053053053,-0.0454140694568121,-0.0409356725146199,-0.0133333333333333,-0.0142989786443826,0.00325095280584908,-0.00244889766150336,0.00304317177587121,0.0108886807789903,-0.0616860162518464,-0.0153038133295098,-0.0486873411842503,0.00449054760910106,-0.0588036732916686,-0.00120288998400853,-0.0326038154973368,-0.0443000059905351,-0.0418288544818902,-0.00890833077019448,0.00732049036777593,-0.00808177160134582,0.00177666678717703,0.000187038500398806,-0.0176390714125936,-0.018609740693018
May 2014,0.0294622425629292,0.0298507462686566,0.0333333333333334,0.0943775100401605,0.106145251396648,0.098482946748335,-0.000706214689265572,0.0465356773526369,0.0275633958103638,0.142217245240762,0.0708245243128964,0.118470149253731,0.115853658536585,0.0864864864864863,0.0391861341371513,0.00479168246657902,-0.000871962384884295,0.0850017140898183,0.0883113706545999,0.136239495461526,0.0345722640657753,0.0995102252588742,-0.00597293114698794,0.116128097681901,0.0577286935595673,0.0769050041260284,0.126564255940255,0.106748417681105,0.121079068056689,0.00143099016495163,0.0360169304607132,-0.0587051787693657,0.0091998575552108,0.0380641150053234,0.0149712022384128
Jun 2014,0.0200055570991942,-0.0163043478260869,0.0197947214076246,0.0339449541284402,0.0378787878787881,0.0261811810858676,0.00247349823321552,0.0316205533596838,0.0198497854077253,0.0294117647058825,0.0108588351431391,0.0517097581317765,0.00819672131147531,-0.00995024875621886,0.0203045685279188,0.00603137136505238,-0.0160513966930497,-0.00649299357019861,0.00664692628822827,0.0248726933697838,0.0109915125109381,0.0192625744569201,-0.0167465623259802,-0.0114526867550965,0.0332937310596888,0.0235890271098096,0.0179598357821611,0.0219693866365112,-0.0268997453905436,-0.014369581359074,-0.0196066325536737,0.0302993374073857,0.00870993024253752,-0.0198234016391685,-0.0123761420090691
Jul 2014,-0.0256061018795968,0.0184162062615103,-0.01294033069734,-0.0275066548358472,-0.00973236009732359,-0.0381993029703559,0.00599224532957332,-0.00862068965517238,-0.023145712782746,-0.00761904761904764,-0.048828125,-0.049960348929421,0.0162601626016261,0.0452261306532664,0.0424662402274343,0.0020120449879617,-0.0461765187489767,0.0221345884747486,-0.00100468854655056,-0.0371497404975289,0.0103877898376159,-0.0334262242411801,0.045058510619171,-0.0177920456723211,0.00936682907955166,-0.0128314700175551,0.0315340287972015,-0.0391281471093679,0.0519080966797081,0.0147335389217988,-0.0033908500251898,0.0193955406470407,-0.000867515372688699,0.0191901531575633,0.0356247156004086
Aug 2014,0.00698909700866657,0.0126582278481011,0.0152949745083757,0.0246350364963503,0.006142506142506,0.0240374782450981,0.0234758234057464,0.0309178743961354,-0.00107700592353255,0.0124760076775432,0.0390143737166324,-0.0133555926544241,0.0186666666666666,0.0432692307692306,0.0446565536049088,0.00462862121542162,0.104849785407725,0.00463596764156815,-0.00609565314560279,-0.0353334721180065,0.014857778198448,-0.0201499488128861,0.0549791543609535,-0.0431977992007873,0.0284858430309813,0.00904060080642166,0.0144201837154114,0.0230881316098708,0.00581274998831449,0.0313501166571863,0.00465853565533814,0.0144335004269689,0.00166704054119426,0.0273314737809984,0.000345429507049078
Sep 2014,0.0158245419211549,0.0821428571428571,0.00143472022955526,-0.00178094390026706,-0.028083028083028,-1.50735210991959e-05,0.00958575830195141,-0.0374882849109653,0.0140161725067385,0.0549763033175354,-0.00296442687747034,-0.0406091370558376,-0.0602094240837696,0.0276497695852536,-0.0114211127426985,0.00684996476773803,-0.000375506610211129,-0.0148502586020005,-0.0450196470832935,0.0187042272893543,0.00871379189845212,0.0144174620908499,0.0588723560738209,0.0313072477157248,0.0402105627173348,-0.038823530651848,-0.0453916268379952,0.00517086124357946,0.0345952764269473,-0.00352754845308334,0.0380345731385301,0.0120407759354124,0.00687486826389372,0.0354309835965658,0.0558150242177573
