Дата,"Цена ПИФ'а","Цена СЧА"
2016/08/07,855.77,3500287812.59
2016/07/07,853.29,3487782635.94
2016/06/07,843.3,3452008985.81
2016/05/07,825.27,3384113416.3
2016/04/07,828.59,3393427485.77
2016/01/07,827.16,3380326119.47
30.06.2016,812.69,3316935190.26
29.06.2016,806.95,3294530220.76
28.06.2016,792.73,3232513998.3
27.06.2016,780.12,3187452067.57
24.06.2016,802.39,3276527219.81
23.06.2016,825.89,3360851716.45
22.06.2016,821.71,3322289211.15
21.06.2016,802.23,3230387097.28
20.06.2016,821.98,3302502355
17.06.2016,822.21,3312446427.55
16.06.2016,851.13,3427132291.2
15.06.2016,848.81,3423374709.83
14.06.2016,858.5,3474915465.4
2016/10/06,862.88,3504840814.28
2016/09/06,869.04,3607748336.79
2016/08/06,874.79,3640026388.88
2016/07/06,890.42,3888607916.07
2016/06/06,922.16,4020279043.71
2016/03/06,913.41,3952583513.95
2016/02/06,946.62,4090982381.15
2016/01/06,932.66,3988877550.93
31.05.2016,922.29,3915670058.09
30.05.2016,907.74,3856671310.89
27.05.2016,902.7,3838409545.77
26.05.2016,889.6,3772805350.33
25.05.2016,891.17,3771416120.01
24.05.2016,889.99,3733261586.35
23.05.2016,879.02,3686930052.32
20.05.2016,872.94,3661736131.99
19.05.2016,855.09,3528808833.72
18.05.2016,858.14,3544735085.15
17.05.2016,830.32,3452456198.63
16.05.2016,839.82,3498074145.46
13.05.2016,822.9,3409774747.21
2016/12/05,808.44,3268302062.63
2016/11/05,823.37,3331160206.52
2016/10/05,867.43,3508497921.26
2016/06/05,834.24,3367823219.28
2016/05/05,845.53,3425981924.22
2016/04/05,850.08,3442944021.55
29.04.2016,857.92,3477103721.49
28.04.2016,882.57,3575516335.1
27.04.2016,895.71,3620438239.53
26.04.2016,909,3672574622.69
25.04.2016,943.3,3804233201.01
22.04.2016,949.59,3834293727.07
21.04.2016,952.38,3849164956.88
20.04.2016,902.78,3637073231.91
19.04.2016,912.2,3660526808.21
18.04.2016,934.05,3746174376.3
15.04.2016,924.55,3706381570.86
14.04.2016,923.08,3690534894.1
13.04.2016,924.55,3706047486.78
2016/12/04,899.37,3606869827.78
2016/11/04,903.94,3618862364.38
2016/08/04,923.87,3641192190.44
2016/07/04,947.71,3714215430.07
2016/06/04,958.38,3733631499.97
2016/05/04,917.97,3544415414.99
2016/04/04,922.94,3561596648.09
2016/01/04,900.16,3473418120.21
31.03.2016,867.09,3347436809.13
30.03.2016,864.07,3347784454.98
29.03.2016,867.09,3367116357.66
28.03.2016,857.14,3320884467.38
25.03.2016,868.64,3354673009.61
24.03.2016,869.6,3340285898.37
23.03.2016,868.21,3308473954.55
22.03.2016,882,3347432323.07
21.03.2016,864.06,3296344687.78
18.03.2016,854.34,3288104533.48
17.03.2016,836.82,3220988070.7
16.03.2016,860.04,3296656697.09
15.03.2016,887.68,3396376646.85
14.03.2016,909.83,3500459615.51
2016/11/03,909.55,3501717240.95
2016/10/03,906.21,3466240639.93
2016/09/03,909.95,3467220082.43
2016/04/03,942.17,3584036985.23
2016/03/03,962.04,3629043224.05
2016/02/03,974.27,3661686513.89
2016/01/03,968.15,3636098097.38
29.02.2016,951.96,3576398683.71
26.02.2016,991.3,3721914363.83
25.02.2016,973.05,3655935525.13
24.02.2016,976.35,3654863830.12
20.02.2016,1003.47,3740633752.31
19.02.2016,1002.95,3704934026.17
18.02.2016,988.01,3621949080.5
17.02.2016,995.3,3608121337.14
16.02.2016,1003.71,3584779760.53
15.02.2016,967.7,3438764697.92
2016/12/02,980.27,3483229042.03
2016/11/02,967.83,3386887852.24
2016/10/02,979.57,3420699303.71
2016/09/02,985.83,3443507269.74
2016/08/02,969.96,3364469474.42
2016/05/02,989.37,3413139316.07
2016/04/02,1015.62,3484205025.92
2016/03/02,1012.6,3458840180.67
2016/02/02,1037.11,3523939040.38
2016/01/02,1035.67,3500898479.62
29.01.2016,1004.96,3395650616.37
28.01.2016,1004.34,3389472861.63
27.01.2016,1059.25,3564796894.08
26.01.2016,1102.43,3728828402.21
25.01.2016,1132.75,3823785670.33
22.01.2016,1122.81,3804945516.93
21.01.2016,1152.26,3907947772.42
20.01.2016,1161.41,3949196119.08
19.01.2016,1090.4,3695963100.55
18.01.2016,1117.34,3796248850.43
15.01.2016,1103.03,3743195144.57
14.01.2016,1108.81,3741494791.16
13.01.2016,1074.61,3662517279.02
2016/12/01,1142.22,3933504640.06
2016/11/01,1113.19,3826855701.84
31.12.2015,1244.36,4282117774.94
30.12.2015,1245.95,4282818205.09
29.12.2015,1194.77,4142292586.34
28.12.2015,1195.31,4183344688.98
25.12.2015,1182.55,4129106959.35
24.12.2015,1202.47,4215020071.98
23.12.2015,1184.16,4185592937.25
22.12.2015,1184.98,4217243564.5
21.12.2015,1183.89,4243071615.59
18.12.2015,1173.09,4217805809.06
17.12.2015,1190.92,4304226191.09
16.12.2015,1170.8,4256614791.16
15.12.2015,1128.52,4111743278.08
14.12.2015,1108.5,4049053702.5
2015/11/12,1142.39,4215418520.67
2015/10/12,1127.47,4166431600.5
2015/09/12,1147.61,4256663035.48
2015/08/12,1113.35,4118369979.41
2015/07/12,1125.18,4170835468.97
2015/04/12,1094.22,4050188110.05
2015/03/12,1116.19,4158580732.17
2015/02/12,1116.15,4149951627.97
2015/01/12,1118.31,4158912450.2
30.11.2015,1132.49,4227124048.51
27.11.2015,1129.55,4240293709.33
26.11.2015,1112.85,4172306892.27
25.11.2015,1103.99,4178882341.01
24.11.2015,1105.05,4169692034.17
23.11.2015,1084.72,4105412582.81
20.11.2015,1086.31,4107206287.16
19.11.2015,1100.47,4171409723.61
18.11.2015,1081.44,4027409755.12
17.11.2015,1083.24,4031551213.89
16.11.2015,1082.1,4045034515.41
13.11.2015,1051.81,3935544515.91
2015/12/11,1059.52,3962063483.32
2015/11/11,1072.18,4003184253.37
2015/10/11,1073.12,3986098287.69
2015/09/11,1056.06,3900895215.97
2015/06/11,1054.38,3896767087.35
2015/05/11,1082.56,3983286675.58
2015/03/11,1083.21,3995121826.46
2015/02/11,1053.3,3860672676.59
30.10.2015,1059.64,3864493168.52
29.10.2015,1087.21,3953167923.01
28.10.2015,1043.2,3785235774.43
27.10.2015,996.76,3605792317.68
26.10.2015,984.07,3546619006.31
23.10.2015,966.47,3470583882.63
22.10.2015,958.5,3432916341.34
21.10.2015,956.19,3389946426.67
20.10.2015,976.23,3450632569.65
19.10.2015,969.28,3450074283.71
16.10.2015,985.08,3491096858.91
15.10.2015,956.39,3379385944.93
14.10.2015,934.78,3289015648.02
13.10.2015,949.09,3324673063.45
2015/12/10,952.13,3325141071.13
2015/09/10,962.18,3300849212.66
2015/08/10,971.96,3308003880.84
2015/07/10,988.65,3331088672.7
2015/06/10,1034.04,3452235726.44
2015/05/10,1046.22,3468852744.19
2015/02/10,1000.28,3275298175.03
2015/01/10,1002.59,3282334622.01
30.09.2015,966.76,3151820777.81
29.09.2015,961.64,3119758246.18
28.09.2015,1026.14,3325346532.6
25.09.2015,1094.05,3532464179.88
24.09.2015,1108.93,3571604332.09
23.09.2015,1118.44,3581484235.03
22.09.2015,1136.02,3635914398.31
21.09.2015,1180.91,3766994220.28
18.09.2015,1194.94,3787918967.68
17.09.2015,1181.43,3721088297.73
16.09.2015,1209.13,3789252277.98
15.09.2015,1210.48,3834268291.12
14.09.2015,1216.84,3833672948.2
2015/11/09,1210.67,3808286772.52
2015/10/09,1175.16,3702314778.77
2015/09/09,1220.07,3791990079.03
2015/08/09,1201.6,3714149239.85
2015/07/09,1153.45,3528985355.24
2015/04/09,1144.85,3482653745.12
2015/03/09,1165.86,3535391197.31
2015/02/09,1099.67,3371553630.34
2015/01/09,1150.9,3491524021.15
31.08.2015,1184.49,3618124089.52
28.08.2015,1193.49,3651161667.95
27.08.2015,1197.23,3692125788.72
26.08.2015,1149.54,3571310133.72
25.08.2015,1158.27,3602162812.94
24.08.2015,1169.53,3610873480.97
21.08.2015,1188.95,3635188520.2
20.08.2015,1214.92,3650221997.39
19.08.2015,1225.63,3632139256.2
18.08.2015,1229.42,3545124077.05
17.08.2015,1194.96,3381109182.5
14.08.2015,1186.9,3305355007.11
13.08.2015,1215.78,3257217760.64
2015/12/08,1175.65,3071595646.56
2015/11/08,1210.9,3102051793.29
2015/10/08,1192.17,2967102087.89
2015/07/08,1196.69,2896572562.3
2015/06/08,1225.47,2902731436.72
2015/05/08,1219,2869709121.78
2015/04/08,1207.28,2760118375.49
2015/03/08,1167.15,2611571888.95
31.07.2015,1134.84,2479509686.1
30.07.2015,1143.6,2441664719.72
29.07.2015,1164.71,2415842289.13
28.07.2015,1115.66,2235199250.66
27.07.2015,1115.75,2172272749.05
24.07.2015,1144.93,2111127032.52
23.07.2015,1141.43,2020133263.44
22.07.2015,1144.04,1966049455
21.07.2015,1147.79,1896611253.75
20.07.2015,1146.71,1859053087.09
17.07.2015,1142.68,1790563925.38
16.07.2015,1123.3,1721116080.51
15.07.2015,1120.87,1653624772.27
14.07.2015,1090.16,1576734759.8
13.07.2015,1073.91,1520193796.82
2015/10/07,1065.63,1442532161.1
2015/09/07,1059.1,1383195396.52
2015/08/07,1084.65,1359678523.45
2015/07/07,1069.13,1301795846.63
2015/06/07,1046.59,1214207976.31
2015/03/07,1050.73,1192545380.86
2015/02/07,1046.79,1153862439.23
2015/01/07,1051.58,1103932279.05
30.06.2015,1027.26,1040075084
29.06.2015,1044.2,1014977002.35
26.06.2015,1048.24,996251897.11
25.06.2015,1044.04,957212299.71
24.06.2015,1060.18,940745502.8
23.06.2015,1048.85,907149637.7
22.06.2015,1038.4,864931220.75
19.06.2015,1030.79,818571240.68
18.06.2015,1014.71,781132824.86
17.06.2015,1013.22,758591921.18
16.06.2015,1029.09,701579856.97
15.06.2015,1023.75,654715159.27
2015/11/06,1029.43,598969738.42
2015/10/06,1036.75,464891891.42
2015/09/06,1043.79,421365704.75
2015/08/06,1046.33,354865446.71
2015/05/06,1025.38,290528201.99
2015/04/06,1011.23,243824280.57
2015/03/06,1012.98,198014321.56
2015/02/06,1008.03,143112030.02
2015/01/06,1009.22,117302335.01
29.05.2015,1005.94,97048419.45
28.05.2015,999.8,63577634.25
27.05.2015,999.83,28078356.72
26.05.2015,999.86,13078331.21
25.05.2015,1000,13080155.44
